name            | file name             | icon name         | provider                                      | author                    | lazy   | ad   | version
Rainbow         | rainbow.component     | rainbow.jpg       | com.yalin.wallpaper.rainbow.ProviderImpl      | Yalin                     | 0      | 0    | 0
Flower          | flower.component      | flower.jpg        | com.yalin.wallpaper.flower.ProviderImpl       | Harism                    | 0      | 0    | 0
Hacker          | hacker.component      | hacker.jpg        | com.yalin.wallpaper.hacker.ProviderImpl       | Gsingh                    | 0      | 0    | 0
阴阳             | yinyang.component     | yinyang.jpg      | com.yalin.wallpaper.yinyang.ProviderImpl       | Harism                    | 0      | 0    | 0
Meta balls       | metaballs.component  | metaballs.jpg     | com.yalin.wallpaper.metaballs.ProviderImpl    | Harism                    | 0      | 0    | 0
Botz             | botz.component       | botz.jpg         | com.yalin.wallpaper.botz.ProviderImpl          | Harism                    | 0      | 0    | 0
条纹             | stripe.component       | stripe.jpg       | com.yalin.wallpaper.stripe.ProviderImpl       | Harism                    | 0      | 0    | 0
Boids            | boids.component       | boids.jpg         | com.yalin.wallpaper.boids.ProviderImpl        | Marc DellaVolpe          | 0      | 0    | 0
贝塞尔时钟        | bezierclock.component | bezierclock.jpg   | com.yalin.wallpaper.bezierclock.ProviderImpl  | Oleg Godovykh             | 0      | 1    | 0
LoveBeat         | lovebeat.component    | lovebeat.jpg     | com.yalin.wallpaper.lovebeat.ProviderImpl     | Pham Trung Phuong          | 0      | 0   | 0
超级六边形        | hexagon.component      | hexagon.jpg      | com.yalin.wallpaper.super_hexagon.ProviderImpl | Chris Sp.                | 0      | 0    | 0
布               | cloth.component       | cloth.jpg         | com.yalin.wallpaper.cloth.ProviderImpl        | Rares Barbantan           | 1      | 0    | 25
Tic Tac Toe     | tictactoe.component    | tictactoe.jpg    | com.yalin.wallpaper.tictactoe.ProviderImpl      | Yalin                   | 1      | 1     | 25
旋转立方         | cube.component        | cube.jpg          | com.yalin.wallpaper.cube.ProviderImpl         | Yalin                     | 1      | 0    | 25
Limitless       | limitless.component   | limitless.jpg     | com.yalin.wallpaper.limitless.ProviderImpl    | Alexander Fedora          | 1      | 1    | 25
Blurred Lines   | blurred_line.component| blurred_line.jpg  | com.yalin.wallpaper.blurred_line.ProviderImpl | Alexander Fedora          | 1      | 1    | 25
沙丁鱼            | shark.component      | shark.jpg         | com.yalin.wallpaper.shark.ProviderImpl         | Atsushi Konno            | 1      | 1    | 25
Sun             | sun.component          | sun.jpg          | com.yalin.wallpaper.sun.ProviderImpl          | Alexander Fedora          | 1      | 0    | 25
DNA             | doublehelix.component   | doublehelix.jpg | com.yalin.wallpaper.doublehelix.ProviderImpl    | Cypher Cove             | 1      | 1    | 25
三角形           | muhtraingle.component   | muhtraingle.jpg | com.yalin.wallpaper.muhtraingle.ProviderImpl    | Federico Dossena        | 1      | 1    | 25
黄昏之风车   | nightfal_windmill.component  | windmill.jpg    | com.yalin.wallpaper.nightfal_windmill.ProviderImpl | Winterlight          | 1      | 1    | 25
黄昏之乡村   | nightfal_rural.component     | rural.jpg       | com.yalin.wallpaper.nightfal_rural.ProviderImpl    | Winterlight          | 1      | 1    | 25
Chroma          | chroma.component         | chroma.jpg       | com.yalin.wallpaper.chroma.ProviderImpl        | Nic Dahlquist           | 1      | 1    | 25
Genesis          | genesis.component        | genesis.jpg       | com.yalin.wallpaper.genesis.ProviderImpl        | OBONO                | 1      | 0    | 25
森林             | forest.component        | forest.jpg       | com.yalin.wallpaper.forest.ProviderImpl         | KaKa                    | 1      | 1    | 25
小坏猫           | sneakycat.component      | sneakycat.jpg       | com.yalin.wallpaper.sneakycat.ProviderImpl    | Winterlight           | 1      | 1    | 25
星系             | galaxy.component          | galaxy.jpg       | com.yalin.wallpaper.galaxy.ProviderImpl         | Maxelus                | 1      | 1    | 25
雨               | rain3d.component          | rain3d.jpg       | com.yalin.wallpaper.rain3d.ProviderImpl         | Yalin                | 1      | 1    | 25
星光              | starlight.component      | starlight.jpg       | com.yalin.wallpaper.starlight.ProviderImpl   | Winterlight           | 1      | 1    | 25
瞌睡熊猫            | lazypanda.component      | lazypanda.jpg       | com.yalin.wallpaper.lazypanda.ProviderImpl   | Winterlight           | 1      | 1    | 25
熊猫              | panda.component          | panda.jpg         | com.yalin.wallpaper.panda.ProviderImpl          | Winterlight           | 1      | 1    | 25
秋               | autumn.component          | autumn.jpg         | com.yalin.wallpaper.autumn.ProviderImpl        | SubMad Group          | 1      | 1    | 25
水               | water01.component          | water01.jpg         | com.yalin.wallpaper.water01.ProviderImpl     | Mosoyo                | 1      | 1    | 25
水               | water02.component          | water02.jpg         | com.yalin.wallpaper.water02.ProviderImpl     | Mosoyo                | 1      | 1    | 25
水               | water03.component          | water03.jpg         | com.yalin.wallpaper.water03.ProviderImpl     | Mosoyo                | 1      | 1    | 25
六边形              | hexagon.component          | hexagon.jpg         | com.yalin.wallpaper.hexagon.ProviderImpl   | Yalin                | 1      | 1    | 25
